iteration	dimension	classification	severity	title	description	parent
1	happy_path	new	-	Standard episode processing	Full 18-step pipeline run with all platforms	-
2	error_path	new	HIGH	Dropbox download fails mid-transfer	Partial file left on disk, not cleaned up	-
3	edge_case	new	MEDIUM	Episode with zero profanity	Empty censor_timestamps handling	-
4	integration	new	HIGH	YouTube quota exceeded mid-upload	Calendar slots reference non-existent videos	-
5	concurrent	new	CRITICAL	Two pipeline runs for same episode	No file locking on state, GPU OOM, duplicate uploads	-
6	temporal	new	HIGH	Platform outage during scheduled posting	YouTube privacy changed but social posts failed — partial irreversible state	-
7	edge_case	new	MEDIUM	Special characters in episode title	Windows path chars, Bluesky grapheme counting	-
8	recovery	new	MEDIUM	Pipeline crash at video conversion	Resume from checkpoint, stale path references	-
9	data_variation	new	MEDIUM	Very short episode (under 2 min)	GPT clips exceed audio duration, useless 2s clips	-
10	integration	new	HIGH	Bluesky session expires mid-posting	No auto-refresh of AT Protocol tokens	-
11	state_transition	new	HIGH	Calendar slot stuck in failed state	No retry mechanism for failed scheduled posts	-
12	scale	new	HIGH	3-hour episode processing	GPT token limit, pydub OOM, FFmpeg timeout	-
13	abuse	new	CRITICAL	Command injection via filename	Shell injection if subprocess uses shell=True	-
14	permission	new	HIGH	YouTube OAuth refresh token expired	Silent YouTube distribution loss with no alerting	-
15	temporal	new	MEDIUM	DST transition during content calendar	1-hour scheduling drift	-
16	edge_case	new	HIGH	GPT-4o returns malformed analysis JSON	Missing fields cause KeyError/NoneType errors	-
17	concurrent	new	HIGH	Two GitHub Actions runs overlap	Duplicate social posts, calendar corruption	-
18	data_variation	new	LOW	MP3 input instead of WAV	Format handling is mostly transparent	-
19	recovery	new	MEDIUM	GitHub Actions run fails, burst posting next day	Accumulated posts look spammy, rate limit risk	-
20	edge_case	new	MEDIUM	Clip exactly 60.0 seconds	FFmpeg muxing overhead could push over Shorts limit	-
21	integration	new	HIGH	OpenAI API rate limit during analysis	No retry on most critical pipeline step	-
22	state_transition	new	LOW	Checkpoint key mismatch after code change	Resume re-runs completed steps under old names	-
23	temporal	new	LOW	Cross-platform pickle (Windows→Linux)	Generally safe for google-auth objects	-
24	abuse	new	MEDIUM	Extremely long episode title	Platform truncation, thumbnail overflow, MAX_PATH	-
25	recovery	new	HIGH	Content calendar JSON corrupted	Unhandled JSONDecodeError stops all posting	-
