iteration	vector	severity	owasp	stride	confidence	location	description
0	baseline	-	-	-	-	-	ruff S-rules: 68 hardcoded strings, 21 subprocess, 13 no-timeout, 3 pickle, 1 shell=True, 1 exec, 4 XML
1	Pickle deserialization	Low	A08	E	Possible	uploaders/youtube_uploader.py:55	pickle.load on YouTube token file — code execution if file replaced
2	Subprocess shell=True	Low	A03	E	Possible	clip_previewer.py:128	shell=True with file path in local clip playback
3	SQL injection	Info	A03	T	Confirmed	search_index.py:69	CLEAN — all queries use parameterized placeholders
4	XSS in website HTML	Info	A03	T	Confirmed	website_generator.py:173	CLEAN — html.escape() used on all dynamic content
5	Blog HTML escaping	Medium	A03	T	Likely	blog_generator.py:*	LLM-generated markdown has no HTML sanitization — stored XSS possible
6	Requests without timeout	Low	A04	D	Confirmed	uploaders/instagram_uploader.py:139	13 requests calls without timeout across Instagram/TikTok uploaders
7	RSS feed XXE	Info	A05	I	Confirmed	rss_episode_fetcher.py:141	CLEAN — feedparser is XXE-safe by design
8	Hardcoded credentials	Info	A07	I	Confirmed	config.py:69-174	CLEAN — all credentials sourced from os.getenv()
9	exec() builtin	Info	A03	E	Confirmed	tests/test_process_historical_episodes.py:641	CLEAN — test-only, hardcoded constant string
10	RSS download path traversal	Info	A01	T	Confirmed	rss_episode_fetcher.py:231	CLEAN — Path.name strips directory components
11	OpenAI API key in logs	Low	A09	I	Possible	content_editor.py:133	Key could appear in stack trace locals at DEBUG log level
12	GitHub token scope	Low	A01	E	Possible	config.py:174	Token grants full repo write; paths are safe (int-derived)
13	Outreach tracker SQLi	Info	A03	T	Confirmed	outreach_tracker.py:81	CLEAN — all queries use parameterized placeholders
14	YAML deserialization	Info	A08	E	Confirmed	client_config.py:111	CLEAN — yaml.safe_load used in all 4 call sites
15	Bluesky password plaintext	Info	A07	I	Confirmed	uploaders/bluesky_uploader.py:19	Acceptable — app password in env var per Bluesky design
16	Content calendar JSON tampering	Low	A08	T	Possible	content_calendar.py:336	Tampered calendar could point clip_path to arbitrary local file
17	Website generator file overwrite	Info	A01	T	Confirmed	website_generator.py:310	CLEAN — all deploy paths hardcoded or int-derived
18	RSS feed SSRF	Low	A10	I	Possible	rss_episode_fetcher.py:141	User-provided URLs fetched without internal network filtering
19	Dropbox OAuth refresh	Info	A07	S	Confirmed	dropbox_handler.py:25	CLEAN — official SDK handles refresh over HTTPS
20	Twitter/Bluesky credential rotation	Low	A07	S	Confirmed	uploaders/twitter_uploader.py:58	No auto-rotation; compromised creds valid until manual revocation
