iteration	dimension	classification	severity	title	description	parent
1	error_path	new	HIGH	Dropbox token expired	OAuth refresh token expired, all retries fail	-
2	edge_case	new	MEDIUM	0-byte audio file	Empty file downloaded, Whisper gets garbage input	-
3	integration	new	MEDIUM	RSS feed malformed XML	Feed returns truncated/corrupt XML	-
4	error_path	new	HIGH	GPU OOM during transcription	CUDA OOM not caught, no CPU fallback	-
5	edge_case	new	MEDIUM	Audio is entirely silence	Whisper returns empty segments, analysis hallucinates	-
6	data_variation	new	LOW	MP4 video as input	Video file processed as audio-only	-
7	integration	new	MEDIUM	OpenAI rate limit	3 retries may not be enough during heavy rate limiting	-
8	data_variation	new	LOW	Non-English transcript	English censor word lists miss non-English names	-
9	error_path	new	MEDIUM	Compliance non-JSON response	GPT response parsing edge cases	-
10	edge_case	new	MEDIUM	Censor timestamp past audio end	start_ms > len(audio) after clamp	-
11	edge_case	new	LOW	200+ censor timestamps	Performance degradation with many censor points	-
12	error_path	new	LOW	FFmpeg loudnorm invalid JSON	Pass 1 stderr mixed with warnings	-
13	edge_case	new	HIGH	Inverted clip range (start > end)	Empty AudioSegment saved as valid file	-
14	edge_case	new	LOW	All clips below minimum duration	0 clips created, downstream handles empty	-
15	error_path	new	HIGH	NVENC encoder unavailable	No fallback to libx264 software encoding	-
16	concurrent	new	MEDIUM	NVENC session limit exceeded	Config MAX_NVENC_SESSIONS > hardware support	-
17	integration	new	MEDIUM	Partial Dropbox upload	MP3 uploaded but clips fail, resume can't retry clips	-
18	recovery	new	LOW	Resume after video crash	PipelineState handles, FFmpeg -y overwrites	-
19	integration	new	MEDIUM	YouTube returns no video_id	Null stored silently, analytics broken	-
20	temporal	new	LOW	Scheduled publish_at in past	YouTube publishes immediately	-
21	integration	new	LOW	Twitter API revoked	Caught, pipeline continues	-
22	error_path	new	LOW	Blog post truncated	max_tokens hit, incomplete markdown saved	-
23	edge_case	new	LOW	SQLite database locked	Caught by broad except, no retry	-
24	recovery	new	HIGH	Disk full during WAV export	Partial file breaks resume	-
25	state_transition	new	LOW	Corrupt pipeline state	JSONDecodeError caught, starts fresh	-
